"order_date","order_time","order_number","order_line_number","customer_name","product_name","store","promotion","order_quantity","unit_price","unit_cost","unit_discount","sales_amount"
2021-09-29,16:18:59,SO20210929/S23-12,1,Dũng Phạm Tiến,Gia vị dạng bột khác,KPIM Mart Dịch Vọng,Giảm giá mua trên 35 sản phẩm,55,125000.0,77700.0,18750.0,5843750.00
2021-10-17,16:13:46,SO20211017/S20-12,1,Ngọc Nguyễn Hồng,Khăn giấy bỏ túi,KPIM Mart CT1 Vimeco Nguyễn Chánh,Không giảm giá,6,12500.0,6250.0,0.0,75000.00
2021-10-17,17:57:33,SO20211017/S20-25,2,Nam Phạm Phương,Khăn giấy hộp,KPIM Mart CT1 Vimeco Nguyễn Chánh,Không giảm giá,2,11500.0,5750.0,0.0,23000.00
2021-10-17,17:57:33,SO20211017/S20-25,3,Nam Phạm Phương,Nước chấm,KPIM Mart CT1 Vimeco Nguyễn Chánh,Giảm giá mua trên 35 sản phẩm,44,160000.0,96861.0,24000.0,5984000.00
2021-10-17,19:41:45,SO20211017/S20-36,1,Hải Quách Hồng,Lò vi sóng,KPIM Mart CT1 Vimeco Nguyễn Chánh,Không giảm giá,2,1350000.0,759240.0,0.0,2700000.00
2021-10-17,17:04:55,SO20211017/S23-21,2,Khánh Nguyễn Phạm Minh,Cafe đen lon,KPIM Mart Dịch Vọng,Không giảm giá,1,360000.0,196390.0,0.0,360000.00
2021-10-17,17:04:55,SO20211017/S23-21,4,Khánh Nguyễn Phạm Minh,"Cháo Yến Mạch, Mật Ong, Vani Và Hạt Chia",KPIM Mart Dịch Vọng,Không giảm giá,1,158000.0,98213.0,0.0,158000.00
2021-09-30,18:12:19,SO20210930/S10-1,1,Tuấn Lưu Anh,Cafe đen lon,KPIM Mart Võng Thị,Không giảm giá,2,360000.0,196390.0,0.0,720000.00
2021-09-30,18:12:19,SO20210930/S10-1,2,Tuấn Lưu Anh,Khăn giấy bỏ túi,KPIM Mart Võng Thị,Không giảm giá,1,12500.0,6250.0,0.0,12500.00
2021-09-30,07:22:53,SO20210930/S13-2,1,Thư Nguyễn Anh,Bánh bông lan,KPIM Mart Đức Giang,Không giảm giá,1,19000.0,9500.0,0.0,19000.00
2021-09-30,11:26:01,SO20210930/S13-9,1,Trang Nguyễn Linh,Lò vi sóng,KPIM Mart Đức Giang,Giảm giá mua trên 25 sản phẩm,31,1350000.0,759240.0,135000.0,37665000.00
2021-09-30,11:26:01,SO20210930/S13-9,2,Trang Nguyễn Linh,"Cháo Yến Mạch, Mật Ong, Vani Và Hạt Chia",KPIM Mart Đức Giang,Không giảm giá,3,158000.0,98213.0,0.0,474000.00
2021-09-30,11:26:01,SO20210930/S13-9,5,Trang Nguyễn Linh,Khăn giấy hộp,KPIM Mart Đức Giang,Giảm giá mua trên 25 sản phẩm,32,11500.0,5750.0,1150.0,331200.00
2021-09-30,17:21:38,SO20210930/S13-15,1,Linh Đỗ Nhật,Bắp Hạt Đông Lạnh,KPIM Mart Đức Giang,Không giảm giá,4,12000.0,6000.0,0.0,48000.00
2021-10-17,07:19:13,SO20211017/S23-3,1,Quang Đỗ Tuấn,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Dịch Vọng,Không giảm giá,5,158000.0,98213.0,0.0,790000.00
2021-10-17,07:19:13,SO20211017/S23-3,2,Quang Đỗ Tuấn,"Xay tiêu, tỏi",KPIM Mart Dịch Vọng,Không giảm giá,10,85000.0,50232.0,0.0,850000.00
2021-09-29,17:18:28,SO20210929/S28-11,1,Đạt Nguyễn Phát,Mì Lẩu,KPIM Mart Hàng Buồm,Không giảm giá,1,5600.0,2800.0,0.0,5600.00
2021-09-30,07:27:45,SO20210930/S7-4,2,Tùng Lê Đình,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Phố Huế,Không giảm giá,3,158000.0,98213.0,0.0,474000.00
2021-09-30,21:59:11,SO20210930/S7-37,1,Ngọc Hoàng Khánh,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Phố Huế,Không giảm giá,1,158000.0,98213.0,0.0,158000.00
2021-09-30,07:23:23,SO20210930/S13-3,1,Anh Nguyễn Quý,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Đức Giang,Không giảm giá,2,158000.0,98213.0,0.0,316000.00
2021-09-30,08:20:35,SO20210930/S23-3,2,Nam Lê Phạm Hải,"Xay tiêu, tỏi",KPIM Mart Dịch Vọng,Không giảm giá,3,85000.0,50232.0,0.0,255000.00
2021-09-30,08:20:35,SO20210930/S23-3,3,Nam Lê Phạm Hải,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Dịch Vọng,Không giảm giá,4,158000.0,98213.0,0.0,632000.00
2021-09-29,17:27:37,SO20210929/S23-16,1,Hân Nguyễn Thị Ngọc,Bình đựng nước thủy tinh,KPIM Mart Dịch Vọng,Không giảm giá,4,120000.0,74592.0,0.0,480000.00
2021-09-29,11:17:26,SO20210929/S26-2,1,Quân Võ Hồ Hoàng,Bia,KPIM Mart Bạch Đằng,Không giảm giá,1,280000.0,140000.0,0.0,280000.00
2021-09-29,14:36:06,SO20210929/S26-9,1,Uyên Nguyễn Đoàn Nhã,Nồi cơm nấu chậm,KPIM Mart Bạch Đằng,Không giảm giá,2,1500000.0,843600.0,0.0,3000000.00
2021-09-29,19:39:29,SO20210929/S26-18,2,Khánh Đỗ Quốc,"Kẹp gắp, khui hộp",KPIM Mart Bạch Đằng,Không giảm giá,1,80000.0,47278.0,0.0,80000.00
2021-09-29,19:39:29,SO20210929/S26-18,3,Khánh Đỗ Quốc,Vỉ hấp,KPIM Mart Bạch Đằng,Không giảm giá,5,80000.0,47278.0,0.0,400000.00
2021-09-29,17:45:28,SO20210929/S29-14,1,Hoàng Nguyễn Đăng Việt,Cafe đen hòa tan,KPIM Mart Hàng Trống,Không giảm giá,1,202000.0,101000.0,0.0,202000.00
2021-09-30,10:04:00,SO20210930/S2-9,1,Tâm Lương Hoàng Minh,Túi đựng rác size nhỏ,KPIM Mart Ngọc Hà,Giảm giá mua trên 15 sản phẩm,17,69000.0,34500.0,3450.0,1114350.00
2021-10-16,08:22:42,SO20211016/S23-2,3,Ngọc Trần Thị Bảo,"Kẹp gắp, khui hộp",KPIM Mart Dịch Vọng,Không giảm giá,3,80000.0,47278.0,0.0,240000.00
2021-10-16,17:11:30,SO20211016/S23-18,2,Ngọc Trịnh Minh,Máy ép trái cây,KPIM Mart Dịch Vọng,Giảm giá mua trên 25 sản phẩm,30,1500000.0,843600.0,150000.0,40500000.00
2021-10-16,19:09:41,SO20211016/S23-35,2,Nhi Đoàn Yến,Máy ép trái cây,KPIM Mart Dịch Vọng,Không giảm giá,9,1500000.0,843600.0,0.0,13500000.00
2021-10-16,11:25:27,SO20211016/S26-10,3,Phát Tô Hồng,Rây lọc,KPIM Mart Bạch Đằng,Không giảm giá,1,70000.0,35000.0,0.0,70000.00
2021-09-30,11:16:01,SO20210930/S23-8,1,Khánh Lương Vân,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Dịch Vọng,Không giảm giá,2,158000.0,98213.0,0.0,316000.00
2021-09-30,11:18:49,SO20210930/S23-9,1,Bách Đồng Phạm,"Xay tiêu, tỏi",KPIM Mart Dịch Vọng,Không giảm giá,5,85000.0,50232.0,0.0,425000.00
2021-09-30,14:49:39,SO20210930/S23-12,2,Quân Nguyễn Đoàn Minh,Sữa bột,KPIM Mart Dịch Vọng,Không giảm giá,1,369000.0,229370.0,0.0,369000.00
2021-09-30,14:49:39,SO20210930/S23-12,3,Quân Nguyễn Đoàn Minh,Bình đựng nước nhựa,KPIM Mart Dịch Vọng,Không giảm giá,2,160000.0,96861.0,0.0,320000.00
2021-09-30,16:37:12,SO20210930/S23-15,4,Anh Vũ Thị Phương,Nồi cơm nắp rời,KPIM Mart Dịch Vọng,Không giảm giá,4,250000.0,125000.0,0.0,1000000.00
2021-09-30,17:17:19,SO20210930/S23-18,3,Uyên Lưu Nguyễn Hoàng,Cá thu hộp,KPIM Mart Dịch Vọng,Không giảm giá,1,19000.0,9500.0,0.0,19000.00
2021-09-30,16:07:37,SO20210930/S29-13,3,Thành Dương Trung,Lạp xưởng khác,KPIM Mart Hàng Trống,Không giảm giá,2,146000.0,90754.0,0.0,292000.00
2021-09-30,20:14:10,SO20210930/S29-20,2,Huy Nguyễn Thành,Nồi cơm nắp rời,KPIM Mart Hàng Trống,Không giảm giá,2,250000.0,125000.0,0.0,500000.00
2021-09-30,15:26:33,SO20210930/S5-12,1,Trung Trần Quang,Sữa bột,KPIM Mart Hàn Thuyên,Không giảm giá,2,369000.0,229370.0,0.0,738000.00
2021-09-30,15:26:33,SO20210930/S5-12,3,Trung Trần Quang,"Xay tiêu, tỏi",KPIM Mart Hàn Thuyên,Giảm giá mua trên 25 sản phẩm,26,85000.0,50232.0,8500.0,1989000.00
2021-09-30,18:13:43,SO20210930/S5-20,1,Nam Nguyễn Hoàng,Snack khoai tây Big Sheet,KPIM Mart Hàn Thuyên,Không giảm giá,1,6000.0,3000.0,0.0,6000.00
2021-09-30,18:32:18,SO20210930/S5-25,2,Trí Nguyễn Viết,"Xay tiêu, tỏi",KPIM Mart Hàn Thuyên,Không giảm giá,1,85000.0,50232.0,0.0,85000.00
2021-09-30,18:04:46,SO20210930/S8-27,1,Kiệt Nguyễn Tuấn,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Phan Chu Trinh,Không giảm giá,2,158000.0,98213.0,0.0,316000.00
2021-09-30,18:04:46,SO20210930/S8-27,2,Kiệt Nguyễn Tuấn,Cháo ăn liền,KPIM Mart Phan Chu Trinh,Không giảm giá,3,11800.0,5900.0,0.0,35400.00
2021-09-30,18:04:46,SO20210930/S8-27,4,Kiệt Nguyễn Tuấn,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Phan Chu Trinh,Không giảm giá,1,158000.0,98213.0,0.0,158000.00
2021-09-30,07:51:22,SO20210930/S18-2,2,Ngọc Trần Trí Bảo,Cháo Yến Mạch Và Các Loại Dâu,KPIM Mart Vũ Tông Phan,Không giảm giá,2,158000.0,98213.0,0.0,316000.00
2021-09-30,18:28:05,SO20210930/S18-17,1,Luân Lý Trung,Sữa bột,KPIM Mart Vũ Tông Phan,Không giảm giá,3,369000.0,229370.0,0.0,1107000.00
